Tweet,HS,Abusive,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other
nak pergi jantung budak budak zaman main mercun nih bunyi bom,0,0,0,0,0,0,0
assalamualaykum tidur dengar lagu nabi mandi gue acara teman tidur ken sakit wkwk natural killer ,0,0,0,0,0,0,0
mental lgbt is wujud lahir kisah pengaruh bebas batas kian luas manusia normal mempe ahankan hak amal normal,0,0,0,0,0,0,0
tenaga kerja asing cina masuk indonesia masuk om curiga cina cina ahoker,1,0,0,1,0,0,0
rezim represif anti islam,1,0,1,0,0,0,0
rumah jaga bersih bersih rupa iman bersih sampah spam hater ,0,0,0,0,0,0,0
heboh tas sembako bantu presiden sedot anggar belanja negara rupiah 3 miliar badan awas pilih,0,0,0,0,0,0,0
latih ribet kang bacot mulu kerja ,1,1,0,0,0,0,1
baca mas beli islam hindu beliau nilai islam kacamata hindu beliau menja,0,0,0,0,0,0,0
rupiah haneul tetek remas monyet on retweet,1,1,0,0,0,0,0
modul didik agama katolik budi peke i yesaya sekolah dasar kelas 1 sih 6,0,0,0,0,0,0,0
tokoh ubah kontribusi nyata maju masyarakat bidang sepe i ekonomi budaya sehat,0,0,0,0,0,0,0
maklum rezim anti islam uniform resource locator,1,0,1,0,0,0,0
citra lemah polos terima kalang rakyat orang cilik sadar kibul modus sederhana sih kaos oblong sandal jepit presiden 2019 ganti presiden,1,0,0,0,0,0,1
oh shit gue kemarin bilang apatis ujung selesai makan bacot,1,1,0,0,0,0,1
ai rakyat demokratik komunis,0,0,0,0,0,0,0
cebong nge i,1,1,0,0,0,0,1
babi perangai babi uniform resource locator,1,1,0,0,0,0,1
sitip nih sitip,0,0,0,0,0,0,0
bullying about body shaming ya bullying suka maki gendut kurus hitam sipit,0,0,0,0,0,0,0
taruna am perek,1,1,0,0,0,0,0
harga yahudi ,0,0,0,0,0,0,0
karno anti asing beliau jawa coba deh adakan konsensus jawa anti asing pro asing kebo ohannya keliru tutup akun,0,0,0,0,0,0,0
wa awan kosakata gembel ,1,1,0,0,0,0,1
anjing ribu uniform resource locator,1,1,0,0,0,0,1
aspirasi lina sumedang calon gubernur jabar berantas rebut laki orang resah hidup warga desa,0,0,0,0,0,0,0
menteri agama biar tipu muhammad sesuai alquran,0,0,0,0,0,0,0
mbsb proses biaya rumah milik rm6 miliar,0,0,0,0,0,0,0
james dean james franco heath ledger charlie hunnam franco yahudi,0,0,0,0,0,0,0
anak sih napi cina kafir usir,1,1,1,1,0,0,0
mantan nih ah cacat,1,1,0,0,0,0,0
niaga kaum india 100 atus pilih pimpin jaga kembang ekonomi negara politik bagus ekonomi negara bagus,0,0,0,0,0,0,0
ya anjir songgoriti motor cewek cowok langsung tawar vila,1,1,0,0,0,0,0
titit titit hambur,1,1,0,0,0,0,0
komunis anjing wkwk,1,1,0,1,0,0,0
allah subhanahu wa taala sembah sembah muslim setan halal rampas ajar tunduk patuh obar cocok cocok penis,1,1,1,0,0,0,0
pribadi kagum buah a ikel beliau tolong orang copet rumah hancur puting beliung tpa media tau jabat menteri,0,0,0,0,0,0,0
ajar desain hasil cacat warga negara aduh kayak roller coaster ,0,0,0,0,0,0,0
laku sih bani onta ekstrak tinja ngoaaahahaaaaa salam ai adil sejahtera jahat kelamin syariat,1,1,0,0,0,0,1
parah jaehyun perek,1,1,0,0,0,0,0
baris anti antek asing koar koar nyata aksi bicara kuat 2019 jokowi,0,0,0,0,0,0,0
bego baca salah baca biar dungu bong,1,1,0,0,0,0,1
ketapang tenaga kerja asing asing kerja usaha masuk pt who tambang bauksit viral pilih presiden kerja era gubernur cornelis wakil,0,0,0,0,0,0,0
umpan pakai biar mancing buaya,0,0,0,0,0,0,0
utututut kali sedih mata sipit,0,0,0,0,0,0,0
98 sedih warga tionghoa 28 baur kampung orang kp usaha lindung eh 98 lari birit birit tinggal rumah suhu,0,0,0,0,0,0,0
kampret banget kuat beli telur tebar hoaks kampret kuat ya koruptor selangkang iya coba lihat pakai mata otak gubernur koruptor cewek pret kampret telur kampret murah ceria,1,1,0,0,0,0,1
alah bacot anti asing impor cina wkwk jilat pantat,1,1,0,0,0,0,1
 serius salah hihi aduh aduh beda sampah plastik bangkai kapal,0,0,0,0,0,0,0
genting tahta nya sih takut lengser nya bungkam organisasi masyarakat atur pt 20,1,0,0,0,0,0,1
nama alana milik rumit sadar orang titik rendah sin titik rendah kelabu bisu novel alana wattpad shinta,0,0,0,0,0,0,0
komisi pilih komisi pemelihan kota cimahi 364 980 jiwa masuk daftar pilih salur hak pilih pilih gubernur pilih gubernur jawa barat 2018,0,0,0,0,0,0,0
kotbur wkwk mampus,1,1,0,0,0,0,1
suka film fantasi seru harry potter antek antek kayak fantastis beast suka suka film kayak pride and prejudice pakai gaun kembang kembang ,0,0,0,0,0,0,0
hi informasi detail kena isu aman transaksi sifat confidential,0,0,0,0,0,0,0
syiah kafir ,1,1,1,0,0,0,0
rakyat dukung komisi berantas korupsi ri usut tuntas anies sandi anggota dewan wakil rakyat amien rais kuasa elite politik libat korupsi,1,0,0,0,0,0,1
seyogyanya benci ilfeel keparat otak sumbu pendek modal sandang,1,1,0,0,0,0,1
bolot alias daki ,1,1,0,0,1,0,0
tolol lihat tolol malu wkwk,1,1,0,0,0,0,1
bodoh mak bahagia,1,1,0,0,0,0,0
tau spider man nyata agama nya katolik batman kristen monosit,0,0,0,0,0,0,0
kasih kendor bubar organisasi masyarakat eh mimpi umrah tenaga kerja indonesia sih,1,0,1,0,0,0,0
korea pop e bom ta,0,0,0,0,0,0,0
kemarin kuliah universitas hasan ih casablanca maroko salah universitas maroko 24 000 mahasiswa terima kasih sambut hangat antusias,0,0,0,0,0,0,0
terima kasih jaga pancasila 32 ancam bahaya laten komunis,0,0,0,0,0,0,0
oh nyata butuh sih monyet masuk kandang uniform resource locator,0,0,0,0,0,0,0
barel bom wilayah kampus kena,0,0,0,0,0,0,0
kaum bani kampret sumbu pendek hidup bumi datar,1,1,0,0,0,0,1
bolot biar legenda,1,1,0,0,0,0,0
retweet viral video mesum marion jola indonesia idol horny memek colok memek colok memek jembut memek becek ,1,1,0,0,0,0,0
gue tau bolot,1,1,0,0,1,0,0
save komisi berantas korupsi tolak rekomendasi amp bubar panitia khusus angket komisi berantas korupsi tanda tangan petisi uniform resource locator via,1,0,0,0,0,0,1
salut pelihara bodoh masuk gagal rejim gagal bikin cerdas ,1,1,0,0,0,0,1
panitia awas milu camat kota himbau sukses pilih kepala daerah wilayah kota,0,0,0,0,0,0,0
guru kimia gue rumus orang tar ateis hubung bambang,0,0,0,0,0,0,0
malu te awa dasar idiot,1,1,0,0,1,0,0
anjir gue,1,1,0,0,0,0,0
cipta situasi aman te ib masyarakat jelang pilih kepala daerah 2018 kepala polisi sektor konang silaturahmi tokoh masyarakat,0,0,0,0,0,0,0
muslim zalim jerumus aniaya muslim,0,0,0,0,0,0,0
indonesia ya tolol bencong up tonton televisi buka media sosial gue,1,1,0,0,0,0,0
nih bicara orang ingus bicara nya ngawur nya gue blok banci uniform resource locator,1,1,0,0,0,1,0
dear sinyal 4g pekanbaru nih kacrut lot kura kura resta,1,1,0,0,0,0,1
budaya sunda bikin mahasiswa asing jatuh cinta,0,0,0,0,0,0,0
sayang ganti pakde jokowi nojo edan jon rumah sakit jiwa bak,1,1,0,0,0,0,0
gaji fantastis liga cina a inya takluk liga cina serie a salah liga pilih cerdas ku,0,0,0,0,0,0,0
mas bagus cerah,0,0,0,0,0,0,0
berani muhammad nabi gadungan allah subhanahu wa taala mati,1,1,1,0,0,0,0
keren,0,0,0,0,0,0,0
bola mata nya lumayan gede bentuk mata nya sipit begituuu kasih dolar,0,0,0,0,0,0,0
bubar hati tolak paham khilafah,1,0,1,0,0,0,0
negara demokrasi ya bubar komisi berantas korupsi,1,0,0,0,0,0,1
tau abai rpjmn proyek masuk play station network 2 proyek selesai cepat,0,0,0,0,0,0,0
bangsat bajing ciduk mampus uniform resource locator,1,1,0,0,0,0,1
sibuk bahas agama lupa kali buang duri jalan gulai tetangga senyum orang asing tuntun orang buta traktir anak yatim damai selisih,0,0,0,0,0,0,0
survei metro televisi jokowi menang presiden hitung ya 45 kalah 46 salah judul maksud jokowi menang sumber zie bajrie,1,0,0,0,0,0,1
pagelaran budaya minangkabau 2018 event spektakuler,0,0,0,0,0,0,0
cupu,1,1,0,0,0,0,1
bom pe sekutu jatuh lin perang dunia ih bunuh gajah kebun binatang lin,0,0,0,0,0,0,0
weh ambek kesah pasal raja nih bodoh je as long as hidup tenang beban,1,1,0,0,0,0,0
sakti jubah kuasa tunggu rakyat marah pecat setya novanto pecat ketua dewan wakil rakyat,1,0,0,0,0,0,1
edan banget,1,1,0,0,0,0,0
islam indah kristen kasih hindu cinta buddha damai agama hormat,0,0,0,0,0,0,0
oh iya gays malam admin ml video crot nya tebak kontol admin ngentot lokal gay gay cirebon pej ,1,1,0,0,0,0,0
kepala otak presiden curiga rakyat buruk sangka takut tagih janji laku rakyat presiden tuduh rakyat intoleransi rakyat radikal teroris tenggelam ai demokrasi indonesia juang ting,1,0,0,0,0,0,1
iya edan kayak,1,1,0,0,1,0,0
putus hubung diplomatik myanmar jokowi turun uniform resource locator,1,0,0,0,0,0,1
me i dusun pancur terong dlingo minggu 15 april 18 jam 09 00 lap pancur riah kirab budaya pentas seni senin 16 april 18 tayub sendang sumur pepunden,0,0,0,0,0,0,0
